abnormalities,B
abscess,A
acute,A
Aphasia,A
Osteochondral Defect,A
Osteomyelitis,A
CSF,A
Gallbladder,B
acl,B
adenoma,B
adrenal,B
aneurysm,B
angio,B
aortic,B
appendix,A
arachnoid,B
arachnoiditis,B
arteriovenous,A
artery,B
arthrogram,A
arvd,B
assessment,B
assymetric,B
ataxic,B
atrophy,B
avascular,A
avn,A
benign,B
bone,B
bowel,B
brain,B
breast,A
cancer,A
carcinoma,A
cardiac,B
carotid,B
cerebral,A
cervix,B
chiari,B
claudication,A
clot,B
cognitive,B
compression,B
concussion,B
congential,B
critical,A
ct,B
cyst,B
demyelination,A
dissection,A
emblization,B
encephalatis,B
encephalitis,A
fetal,B
fibrocartilage,B
fibroid,B
fistula,B
fnh,B
foot,B
fracture,B
glomus,B
gp,B
head,B
hemangioma,B
hemorrhage,A
hepatic,B
hernia,B
high,A
hip,B
hydrocephalus,B
ica,B
impingement,B
implants,B
incontinence,B
inguinal,B
injury,B
intracranial,A
invading,B
invasion,B
ischemia,A
ischemic,A
joint,B
knee,B
known,B
labral,B
lipoma,B
liver,B
lymphoma,B
malformation,B
mass,B
medical,C
meningioma,B
meniscal,B
metastatic,A
mortens,B
mra,B
mrcp,B
ms,A
myelopathy,B
nasophrayngeal,B
necrosis,A
neoplasm,A
neuritis,B
neurodegenerative,B
neurofibroma,B
neuroma,B
neuropathy,B
occult,B
operative,B
optic,B
orbital,B
orthopedic,B
osteochondromas,B
pain,B
pancoast,B
pancreas,B
PIT,B
pituitary,A
planning,A
pre-,B
pre-op,A
preoperative,A
prolactic,B
prostate,B
pulsatile,B
query,C
r/o,B
rad,B
rectal,B
renal,B
retrocochlear,B
rheumatology,B
rotat,A
rotator,A
rupture,B
sarcoma,A
sbft,B
scaphoid,B
sciatica,B
seizure,A
semi,B
seminoma,B
si,B
slap,A
spinal,B
spine,B
stealth,B
stroke,A
supraspinatus,B
surgical,A
suspected,B
syndrome,B
syrinx,A
tear,B
tendon,B
tfcc,B
thrombosis,A
thyroid,B
tinnitus,A
tissue,D
tmj,B
tumour,B
uae,B
ultrasound,B
uterine,B
venous,A
workup,B
wrist,B
Old,D
staging,C
locked,C
history,A
followup,A
HIV,A
hx,A
lesion,B
vascular,B
stenosis,B
OCD,A
Cardiomyopathy,A
new,A
dementia,A
Leak,A
chronic,D
